expr,time
bubble_sort(arr10),24332503
bubble_sort(arr100),694378
selection_sort(arr10000),1937244628
bubble_sort(arr100),567901
bubble_sort(arr100),554808
selection_sort(arr10),7773
quickSort(arr10),8978487
bubble_sort(arr1000),51326499
quickSort(arr100),707171
bubble_sort(arr10),11141
quickSort(arr1000),8958283
quickSort(arr10000),61787206
bubble_sort(arr100),655755
quickSort(arr10000),66664256
quickSort(arr10000),62236718
bubble_sort(arr10000),5230266167
bubble_sort(arr100),562057
quickSort(arr10000),55919222
bubble_sort(arr10),16896
selection_sort(arr100),236728
bubble_sort(arr10),9793
quickSort(arr1000),6791405
quickSort(arr1000),5110695
bubble_sort(arr1000),52385727
selection_sort(arr100),208437
quickSort(arr10000),53019342
selection_sort(arr10),13361
quickSort(arr10),52076
selection_sort(arr1000),20604761
quickSort(arr10000),58275326
quickSort(arr100),547266
quickSort(arr1000),6865987
bubble_sort(arr1000),54010010
selection_sort(arr10000),1833689183
bubble_sort(arr10000),5297664700
bubble_sort(arr10000),5193394100
selection_sort(arr1000),18386423
quickSort(arr10000),65226617
bubble_sort(arr10000),5202198473
quickSort(arr100),795984
quickSort(arr10),53450
selection_sort(arr1000),18809674
quickSort(arr100),542982
quickSort(arr10000),55196644
bubble_sort(arr1000),52603684
selection_sort(arr100),254481
quickSort(arr100),469128
selection_sort(arr1000),18226556
bubble_sort(arr10000),5187909674
bubble_sort(arr100),639951
quickSort(arr1000),4574861
quickSort(arr1000),4633147
bubble_sort(arr1000),50671786
quickSort(arr1000),4721776
bubble_sort(arr10),12591
quickSort(arr1000),11471952
quickSort(arr100),498105
selection_sort(arr1000),21354868
quickSort(arr1000),5618964
selection_sort(arr10000),1915357362
bubble_sort(arr1000),53950542
quickSort(arr10000),59771152
selection_sort(arr1000),21572700
bubble_sort(arr1000),55692192
quickSort(arr10),76230
quickSort(arr100),471665
selection_sort(arr10),9081
quickSort(arr100),441069
quickSort(arr100),459632
quickSort(arr10),46257
quickSort(arr1000),4799458
quickSort(arr100),458607
selection_sort(arr10),13593
bubble_sort(arr10),9750
quickSort(arr10000),61029489
selection_sort(arr100),247601
quickSort(arr10000),57989691
quickSort(arr1000),5382985
selection_sort(arr10),13476
bubble_sort(arr100),647646
selection_sort(arr10000),1903775278
bubble_sort(arr100),647463
selection_sort(arr100),235502
selection_sort(arr10000),1844494944
selection_sort(arr100),214851
quickSort(arr100),458269
bubble_sort(arr100),554953
bubble_sort(arr10),8576
quickSort(arr10000),55009921
quickSort(arr1000),5645957
selection_sort(arr10000),1859140159
bubble_sort(arr10),17664
selection_sort(arr100),206840
bubble_sort(arr100),549207
selection_sort(arr100),202551
bubble_sort(arr10),8088
selection_sort(arr1000),18292214
bubble_sort(arr10),17434
quickSort(arr10),68381
selection_sort(arr100),206874
bubble_sort(arr100),548984
bubble_sort(arr1000),51456497
selection_sort(arr100),216819
quickSort(arr100),503559
bubble_sort(arr10),10602
quickSort(arr100),441622
selection_sort(arr10000),1835646235
bubble_sort(arr100),545209
selection_sort(arr100),199683
bubble_sort(arr10000),5678075544
selection_sort(arr10),26046
bubble_sort(arr100),733910
selection_sort(arr1000),21222229
bubble_sort(arr100),644183
selection_sort(arr10000),2027231483
bubble_sort(arr10),22684
bubble_sort(arr10),10135
bubble_sort(arr10000),5915125170
quickSort(arr10),87062
quickSort(arr1000),6323116
quickSort(arr100),457514
quickSort(arr1000),4828751
bubble_sort(arr10000),5201294772
selection_sort(arr1000),18303483
selection_sort(arr1000),18224181
quickSort(arr100),524433
quickSort(arr1000),4845642
quickSort(arr10),47008
quickSort(arr1000),4713938
bubble_sort(arr10000),5206553268
quickSort(arr1000),6025622
quickSort(arr10),39812
selection_sort(arr100),208863
bubble_sort(arr10),9594
selection_sort(arr10),5434
quickSort(arr10000),59110780
quickSort(arr10000),59310296
quickSort(arr1000),5171335
selection_sort(arr10000),1837761163
selection_sort(arr10),13751
selection_sort(arr100),208247
quickSort(arr1000),6349534
selection_sort(arr10000),1815037526
bubble_sort(arr100),550312
quickSort(arr10000),52358127
quickSort(arr100),516145
selection_sort(arr10),12352
bubble_sort(arr1000),53244597
bubble_sort(arr10),15250
quickSort(arr10),74255
quickSort(arr1000),4672529
selection_sort(arr1000),19075335
bubble_sort(arr10),13520
bubble_sort(arr1000),51590135
bubble_sort(arr10),15484
bubble_sort(arr10000),5192967764
selection_sort(arr10),13988
selection_sort(arr1000),18204439
bubble_sort(arr10),10275
bubble_sort(arr100),536554
bubble_sort(arr100),535154
bubble_sort(arr10),7764
selection_sort(arr100),197604
selection_sort(arr1000),18292952
bubble_sort(arr10000),5412895649
quickSort(arr10),1698147
selection_sort(arr10000),1952969642
quickSort(arr10000),59329619
bubble_sort(arr10),16698
selection_sort(arr100),243291
selection_sort(arr1000),21790996
selection_sort(arr1000),21365446
quickSort(arr10000),58872862
quickSort(arr10000),61915750
bubble_sort(arr1000),60213911
quickSort(arr100),574670
quickSort(arr100),594464
bubble_sort(arr10000),5322808444
quickSort(arr10000),60054968
bubble_sort(arr10),15674
bubble_sort(arr10),9546
selection_sort(arr1000),21355316
selection_sort(arr1000),21259236
bubble_sort(arr10000),5213679330
bubble_sort(arr1000),51115473
quickSort(arr10),80460
bubble_sort(arr100),553070
bubble_sort(arr1000),50832743
bubble_sort(arr1000),51743171
bubble_sort(arr10000),5303576880
quickSort(arr100),513789
bubble_sort(arr10),12651
quickSort(arr100),491112
selection_sort(arr10),8987
bubble_sort(arr10),9900
selection_sort(arr10),6305
quickSort(arr10),52457
quickSort(arr10000),58682929
selection_sort(arr1000),21661519
bubble_sort(arr10000),5259407679
bubble_sort(arr10),15763
bubble_sort(arr1000),51316479
bubble_sort(arr10000),5216095075
quickSort(arr10000),59038455
quickSort(arr1000),5597845
quickSort(arr10000),59376123
quickSort(arr10000),60393540
quickSort(arr10000),60287529
bubble_sort(arr100),655611
selection_sort(arr10000),1892477458
selection_sort(arr100),215419
selection_sort(arr10),7215
bubble_sort(arr100),551968
selection_sort(arr10000),1892846595
bubble_sort(arr10),16657
selection_sort(arr10),6944
selection_sort(arr10000),1835455634
quickSort(arr10),88851
selection_sort(arr10000),1912183608
bubble_sort(arr10000),5174123375
selection_sort(arr1000),18331516
quickSort(arr10),90554
bubble_sort(arr100),540900
selection_sort(arr100),198522
bubble_sort(arr10),8857
quickSort(arr10),64541
quickSort(arr10000),60999781
selection_sort(arr10),12757
selection_sort(arr10000),1837340159
quickSort(arr10),79679
quickSort(arr10),53650
selection_sort(arr10),8617
selection_sort(arr1000),20281498
bubble_sort(arr100),657027
selection_sort(arr100),235114
bubble_sort(arr1000),52017333
selection_sort(arr100),214560
quickSort(arr10),69631
selection_sort(arr100),204671
bubble_sort(arr10000),5339312054
quickSort(arr1000),6010407
quickSort(arr10),39823
quickSort(arr10),38744
selection_sort(arr10000),1820197364
